,0
0,150.0379
1,164.0366
2,192.9865
3,207.0384
4,214.0674
5,221.0547
6,230.0651
7,253.2122
8,255.2278
9,256.2319
10,276.1093
11,279.2324
12,280.2342
13,281.2436
14,283.1369
15,283.2598
16,291.0849
17,297.1511
18,302.1468
19,303.2303
20,305.2505
21,311.1661
22,319.1158
23,325.1807
24,326.1805
25,331.2609
26,333.1301
27,335.1312
28,339.1975
29,340.1974
30,345.1457
31,347.145
32,353.2125
33,359.0699
34,359.1579
35,375.1695
36,375.2258
37,377.1787
38,389.1935
39,392.2193
40,401.2416
41,403.2578
42,415.217
43,419.2525
44,443.2531
45,446.2112
46,460.2276
47,472.2094
48,481.2996
49,488.2165
50,488.2472
51,489.247
52,524.2764
53,554.2615
54,555.2645
55,556.2672
56,572.4804
57,574.4844
58,575.4846
59,594.2937
60,595.2968
61,599.4974
62,603.4707
63,616.1863
64,617.2627
65,626.534
66,627.4766
67,627.5351
68,629.4881
69,630.4908
70,631.4924
71,633.4455
72,634.2185
73,642.4879
74,644.3919
75,647.4705
76,655.503
77,657.3917
78,657.515
79,659.4578
80,660.5123
81,661.4885
82,662.4108
83,669.4767
84,670.5266
85,673.4849
86,674.4926
87,679.4999
88,680.4996
89,681.3573
90,684.6037
91,687.5006
92,687.5415
93,688.5119
94,689.488
95,689.5516
96,690.5124
97,691.496
98,692.4964
99,696.3883
100,697.38
101,697.4839
102,698.498
103,699.5009
104,700.5148
105,705.3935
106,707.439
107,707.5173
108,709.4749
109,712.4057
110,712.6405
111,714.5186
112,715.5056
113,715.5756
114,716.5225
115,717.5123
116,718.5312
117,719.5243
118,720.5052
119,721.4916
120,722.5142
121,725.5142
122,726.4113
123,726.5344
124,730.5602
125,733.4612
126,734.5267
127,735.4749
128,737.509
129,740.5196
130,742.5413
131,743.5385
132,744.5556
133,745.5578
134,746.3947
135,746.5505
136,748.5274
137,750.5434
138,754.6094
139,759.4739
140,761.4937
141,762.5438
142,766.5421
143,768.556
144,769.5111
145,769.5559
146,770.5728
147,772.5851
148,789.5388
149,790.5526
150,794.5735
151,795.5737
152,796.5823
153,818.5956
154,819.5373
155,844.6436
156,846.6578
157,847.6588
158,865.699
159,866.7118
160,868.7224
161,880.6736
162,885.5571
163,891.7219
164,892.7263
165,893.7406
166,894.746
167,895.7444
168,896.7467
169,908.7007
170,917.7399
171,919.7572
172,920.7574
173,921.7638
174,954.753
175,982.7949
176,1006.7955
177,1008.8073
178,1009.8168
179,1010.8265
180,1251.0079
181,1278.0212
182,1304.0346
